Reason,Total,Male,Female,9–11,12–14,15–17
,,,,,,
My parents don’t allow me to access it,57.1,54,60,69,59,34
Paying for Internet or data (too expensive),19.5,20,19,13,22,27
My teachers don’t allow me to,18.3,23,14,16,18,22
There is no signal or poor signal where I live,15.9,19,13,10,19,21
"Devices (cell phone, computer, tablet) are too expensive",15.4,14,17,19,16,9
I do not have enough time to go online,12.4,7,17,11,13,14
The Internet is too time consuming,9.3,5,13,7,8,14
It’s not for people my age (a child),8.2,6,11,13,8,1
It’s not for people like me (a child),5,3,7,8,5,1
The Internet doesn’t provide what I want or need,4.5,4,5,5,3,6
It’s difficult to use,4.1,5,4,5,3,3
I am worried about my privacy,0.8,0,1,1,1,1
Other,0.7,1,1,0,,2
Don’t know,0.9,1,1,,1,2
Refusal,1.1,2,,1,1,2
