Activity,Total,Male,Female,9–11,12–14,15–17
Use a webcam,18.7,18,20,30,21,7
Download music or films,8.9,7,11,19,6,3
Visit a social networking site,16.4,12,22,33,16,4
Watch video clips,3.2,2,4,7,2,1
Play games with other people online,31.4,19,45,44,35,18
Visit a chat room,47.2,39,56,63,51,31
Use instant messaging,18.8,13,24,34,18,7
Read or watch news online,16.9,14,20,31,16,6
Use the Internet for school work,4.3,4,4,10,2,2
Spend time in a virtual world,36.9,29,45,49,43,22
"Share photos, videos or music online with others",25,18,32,45,24,10
